QP_name,Regularization,Iteration,Cost,Decomp_Flop,Status
acrobot_FU_INDE_RE_INDE_status_4_iter_53,INERTIA_LM,11,-0.0004814246205747731,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_7,NO_REGULARIZE,1,-2.5720637633152768,4,1
acrobot_FU_INDE_RE_INDE_status_4_iter_7,PM_MIRROR,120,210865.95670274383,456648.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_7,PM_GMW,120,210865.9567027439,18550.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_7,INERTIA_LM,120,210865.95670274424,4256,2
acrobot_FU_INDE_RE_INDE_status_4_iter_8,NO_REGULARIZE,1,3.8185685821662214,2,1
acrobot_FU_INDE_RE_INDE_status_4_iter_8,PM_MIRROR,120,-5088541.068933481,920232.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_8,PM_GMW,120,-119040.42635279936,57290.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_8,INERTIA_LM,120,-5088541.06893349,4862,2
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_1,NO_REGULARIZE,4,7.223555880882449,164,1
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_1,PM_MIRROR,106,-660.809095624306,32698.75,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_1,PM_GMW,76,-660.8090956243036,4605.0,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_1,INERTIA_LM,120,-640.1560970328054,10817,2
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_10,NO_REGULARIZE,9,-0.05162454853798725,422,1
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_10,PM_MIRROR,25,-0.9084205010983923,3394.25,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_10,PM_GMW,25,-1.1355504275672106,1311.25,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_10,INERTIA_LM,27,-0.908420509361262,2039,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_11,NO_REGULARIZE,8,0.9756310143068111,366,1
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_11,PM_MIRROR,21,-0.74064537029876,1526.5,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_11,PM_GMW,22,-0.7406453708291653,1135.0,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_11,INERTIA_LM,57,-0.7406453710645697,5593,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_12,NO_REGULARIZE,18,-0.11575298761041322,900,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_12,PM_MIRROR,18,-0.11575298761041322,900,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_12,PM_GMW,18,-0.11575298761041322,900,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_12,INERTIA_LM,18,-0.11575298761041322,900,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_13,NO_REGULARIZE,19,-0.10533785878949967,950,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_13,PM_MIRROR,19,-0.10533785878949967,950,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_13,PM_GMW,19,-0.10533785878949967,950,0
dubins_car_parallel_parking_FU_INDE_RE_INDE_status_4_iter_13,INERTIA_LM,19,-0.10533785878949967,950,0
