QP_name,Regularization,Iteration,Cost,Status
overhead_crane_FU_PD_RE_PD_status_2_iter_38,HPIPM,12,-2.3419204955917863,0
overhead_crane_FU_PD_RE_PD_status_2_iter_47,Prototype,10,4.970652397154433e-08,0
overhead_crane_FU_PD_RE_PD_status_2_iter_47,HPIPM,10,4.97220849816162e-08,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_12,Prototype,8,-1.3112645493762123,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_12,HPIPM,8,-1.311264549487857,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_22,Prototype,5,-0.7717978389558591,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_22,HPIPM,5,-0.7717978389572843,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_3,Prototype,7,-24.7666016318842,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_3,HPIPM,7,-24.76660163188431,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_36,Prototype,4,-0.019844433324539106,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_36,HPIPM,4,-0.019844433330926024,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_49,Prototype,4,-0.0002323497623273876,0
pendulum_cons_FU_PD_RE_PD_status_2_iter_49,HPIPM,4,-0.00023234976212596105,0
robot_FU_PD_RE_PD_status_2_iter_21,Prototype,6,-0.0025617820980213804,0
robot_FU_PD_RE_PD_status_2_iter_21,HPIPM,6,-0.002561782079175086,0
robot_FU_PD_RE_PD_status_2_iter_35,Prototype,7,-2.695733927386348e-05,0
robot_FU_PD_RE_PD_status_2_iter_35,HPIPM,7,-2.695734230297784e-05,0
robot_FU_PD_RE_PD_status_2_iter_53,Prototype,6,9.734473083165165e-07,0
robot_FU_PD_RE_PD_status_2_iter_53,HPIPM,6,9.73398092773481e-07,0
robot_FU_PD_RE_PD_status_2_iter_69,Prototype,6,1.1223447410993343e-06,0
robot_FU_PD_RE_PD_status_2_iter_69,HPIPM,6,1.1222950942201325e-06,0
robot_FU_PD_RE_PD_status_2_iter_8,Prototype,6,-0.021954270391690997,0
robot_FU_PD_RE_PD_status_2_iter_8,HPIPM,6,-0.021954270399873684,0
