QP_name,Regularization,Iteration,Cost,Decomp_Flop,Status
acrobot_FU_INDE_RE_INDE_status_4_iter_41,M_GMW,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,PM_PROJECT,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,PM_MIRROR,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_41,PM_GMW,11,-2.2353378822095482e-05,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_45,NO_REGULARIZE,2,-105.20608155595163,45,1
acrobot_FU_INDE_RE_INDE_status_4_iter_45,M_PROJECT,10,-39.569967365254755,356,0
acrobot_FU_INDE_RE_INDE_status_4_iter_45,M_MIRROR,9,-39.569967176340704,382,0
acrobot_FU_INDE_RE_INDE_status_4_iter_45,M_GMW,9,-39.569967176340704,274,0
acrobot_FU_INDE_RE_INDE_status_4_iter_45,PM_PROJECT,10,-39.56996742184341,17860.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_45,PM_MIRROR,13,-39.569967365253014,31998.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_45,PM_GMW,35,-39.569967365255025,4300.0,0
acrobot_FU_INDE_RE_INDE_status_4_iter_47,NO_REGULARIZE,11,-0.0015494665437017915,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_47,M_PROJECT,11,-0.0015494665437017915,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_47,M_MIRROR,11,-0.0015494665437017915,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_47,M_GMW,11,-0.0015494665437017915,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_47,PM_PROJECT,11,-0.0015494665437017915,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_47,PM_MIRROR,11,-0.0015494665437017915,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_47,PM_GMW,11,-0.0015494665437017915,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_48,NO_REGULARIZE,11,-6.517159140965843e-06,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_48,M_PROJECT,11,-6.517159140965843e-06,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_48,M_MIRROR,11,-6.517159140965843e-06,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_48,M_GMW,11,-6.517159140965843e-06,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_48,PM_PROJECT,11,-6.517159140965843e-06,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_48,PM_MIRROR,11,-6.517159140965843e-06,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_48,PM_GMW,11,-6.517159140965843e-06,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_5,NO_REGULARIZE,1,5.8118955997894926,3,1
acrobot_FU_INDE_RE_INDE_status_4_iter_5,M_PROJECT,1,nan,366,3
acrobot_FU_INDE_RE_INDE_status_4_iter_5,M_MIRROR,120,-9301.061852704677,80096,2
acrobot_FU_INDE_RE_INDE_status_4_iter_5,M_GMW,120,-9301.061852704677,6332,2
acrobot_FU_INDE_RE_INDE_status_4_iter_5,PM_PROJECT,120,1015659.2227051655,298608.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_5,PM_MIRROR,120,1015659.2227051664,572544.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_5,PM_GMW,120,1015659.2227051646,11270.0,2
acrobot_FU_INDE_RE_INDE_status_4_iter_53,NO_REGULARIZE,11,-0.0004814246205747731,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_53,M_PROJECT,11,-0.0004814246205747731,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_53,M_MIRROR,11,-0.0004814246205747731,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_53,M_GMW,11,-0.0004814246205747731,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_53,PM_PROJECT,11,-0.0004814246205747731,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_53,PM_MIRROR,11,-0.0004814246205747731,330,0
acrobot_FU_INDE_RE_INDE_status_4_iter_53,PM_GMW,11,-0.0004814246205747731,330,0
